OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,YearsBeforeSold,ExterQual_TA,BsmtQual_Ex,KitchenQual_TA,GarageFinish_Unf,KitchenQual_Ex,SalePrice
7,1710,2,856,856,2,5,0,0,0,0,0,208500
6,1262,2,1262,1262,2,31,1,0,1,0,0,181500
7,1786,2,920,920,2,6,0,0,0,0,0,223500
7,1717,3,756,961,1,36,1,0,0,1,0,140000
8,2198,3,1145,1145,2,8,0,0,0,0,0,250000
5,1362,2,796,796,1,14,1,0,1,1,0,143000
8,1694,2,1686,1694,2,2,0,1,0,0,0,307000
7,2090,2,1107,1107,2,36,1,0,1,0,0,200000
7,1774,2,952,1022,2,58,1,0,1,1,0,129900
5,1077,1,991,1077,1,58,1,0,1,0,0,118000
5,1040,1,1040,1040,1,43,1,0,1,1,0,129500
9,2324,3,1175,1182,3,0,0,1,0,0,1,345000
5,912,1,912,912,1,46,1,0,1,1,0,144000
7,1494,3,1494,1494,2,0,0,0,0,0,0,279500
6,1253,1,1253,1253,1,48,1,0,1,0,0,157000
7,854,2,832,854,1,6,1,0,1,1,0,132000
6,1004,2,1004,1004,1,40,1,0,1,0,0,149000
4,1296,2,0,1296,2,39,1,0,1,1,0,90000
5,1114,2,1114,1114,1,4,1,0,0,1,0,159000
5,1339,1,1029,1339,1,44,1,0,1,1,0,139000
8,2376,3,1158,1158,3,0,0,1,0,0,0,325300
7,1108,1,637,1108,1,57,1,0,0,1,0,139400
8,1795,2,1777,1795,2,6,0,0,0,0,0,230000
5,1060,2,1040,1060,1,31,1,0,1,1,0,129900
5,1060,1,1060,1060,1,9,1,0,0,1,0,154000
8,1600,3,1566,1600,2,2,0,0,0,0,0,256300
5,900,2,900,900,1,10,1,0,0,1,0,134800
8,1704,3,1704,1704,2,2,0,1,0,0,0,306000
5,1600,1,1484,1600,1,9,1,0,1,0,0,207500
4,520,1,520,520,1,58,1,0,0,1,0,68500
4,1317,1,649,649,1,58,1,0,1,1,0,40000
5,1228,1,1228,1228,1,2,1,0,0,1,0,149350
8,1234,2,1234,1234,2,1,0,1,0,0,0,179900
5,1700,2,1398,1700,1,51,1,0,0,0,0,165500
9,1561,2,1561,1561,2,2,0,1,0,0,1,277500
8,2452,3,1117,1132,3,1,0,1,0,0,0,309000
5,1097,2,1097,1097,1,14,1,0,1,1,0,145000
5,1297,2,1297,1297,1,19,1,0,1,0,0,153000
5,1057,1,1057,1057,1,3,1,0,0,1,0,109000
4,1152,0,0,1152,2,53,1,0,0,1,0,82000
6,1324,2,1088,1324,2,41,1,0,1,0,0,160000
5,1328,1,1350,1328,1,48,1,0,1,0,0,170000
5,884,2,840,884,1,24,1,0,0,0,0,144000
5,938,1,938,938,1,28,1,0,1,1,0,130250
5,1150,1,1150,1150,1,47,1,0,1,0,0,141000
9,1752,2,1752,1752,2,5,0,1,0,0,1,319900
7,2149,2,1434,1518,1,6,0,1,0,0,0,239686
8,1656,3,1656,1656,2,1,0,0,0,0,0,249700
4,1452,0,736,736,2,1,1,0,1,1,0,113000
5,955,1,955,955,1,41,1,0,1,1,0,127000
6,1470,2,794,794,2,10,1,0,1,0,0,177000
6,1176,2,816,816,1,56,1,0,1,1,0,114500
5,816,2,816,816,1,47,0,0,1,1,0,110000
